date,year,month,gp_patients,gp_insurance,gp_cash,im_patients,im_insurance,im_cash,dental_patients,dental_insurance,dental_cash,total_patients,total_revenue,pcr_patients,pcr_cash,final_revenue
2021-01-01,2021,1,507,54643.98,6919.0,0,0.0,0,74,11032.0,6700,581,79294.98,21,647.0,79941.98
2021-02-01,2021,2,554,51363.14,8107.0,0,0.0,0,57,33527.36,13343,611,106340.5,87,2031.0,108371.5
2021-03-01,2021,3,470,38923.15,8079.0,0,0.0,0,40,14244.44,11590,510,72836.59,253,5295.0,78131.59
2021-04-01,2021,4,357,33027.72,6228.0,38,5411.85,470,98,1302.0,7805,493,54244.57,779,17358.0,71602.57
2021-05-01,2021,5,436,48903.4,8314.0,96,14285.45,423,122,5421.92,9150,654,86497.77,423,11640.0,98137.77
2021-06-01,2021,6,640,58773.6,7408.0,147,19324.0,882,145,13687.68,10080,932,110155.28,398,12600.0,122755.28
2021-07-01,2021,7,642,50421.97,6278.5,154,19072.75,980,113,4105.68,10075,909,90933.9,479,14575.0,105508.9
2021-08-01,2021,8,644,53485.12,5166.0,232,30014.63,663,155,14326.96,10420,1031,114075.71,440,11975.0,126050.71
2021-09-01,2021,9,676,55903.0,4925.0,233,26214.38,2672,143,19019.04,10950,1052,119683.42,474,10215.0,129898.42
2021-10-01,2021,10,715,58388.11,5121.0,229,26280.45,1077,155,30595.92,12050,1099,133512.48,502,11585.0,145097.48
2021-11-01,2021,11,586,57315.33,13418.0,213,23131.0,947,184,48860.16,8850,983,152521.49,193,4530.0,157051.49
2021-12-01,2021,12,556,36919.64,3377.0,255,28784.24,2030,96,43269.84,3790,907,118170.72,513,15230.0,133400.72
2022-01-01,2022,1,614,42207.53,4490.0,183,18115.97,655,68,11782.4,4070,865,81320.9,736,17795.0,99115.9
2022-02-01,2022,2,549,38624.6,2926.0,200,19935.96,1934,134,14905.2,9644,883,87969.76,388,9450.0,97419.76
2022-03-01,2022,3,731,51217.74,3981.0,191,18070.97,705,157,24089.3,11520,1079,109584.01,224,6267.0,115851.01
2022-04-01,2022,4,506,30532.14,3385.0,95,7382.47,850,136,13396.07,10670,737,66215.68,111,1983.0,68198.68
2022-05-01,2022,5,609,36477.61,5538.0,198,20652.17,1080,157,13705.5,11400,964,88853.28,47,1109.0,89962.28
2022-06-01,2022,6,907,61877.59,4780.0,131,14913.36,120,126,19814.4,8930,1164,110435.35,182,3632.0,114067.35
2022-07-01,2022,7,862,57563.52,4665.0,260,28320.87,1380,95,7009.2,8260,1212,107198.59,182,3696.0,110894.59
2022-08-01,2022,8,1098,73983.98,4045.0,73,6216.84,440,151,26371.2,8610,1322,119667.02,73,2068.0,121735.02
2022-09-01,2022,9,967,61765.82,5590.0,244,20948.91,1820,107,24774.1,8090,1318,122988.83,64,1621.0,124609.83
2022-10-01,2022,10,1022,57637.97,4465.0,271,24286.7,270,132,38602.0,8610,1425,133871.67,30,1111.0,134982.67
2022-11-01,2022,11,1008,53506.4,4340.0,201,14770.11,525,131,40143.2,7415,1340,120699.71,107,3168.0,123867.71
2022-12-01,2022,12,911,47840.15,3700.0,410,31224.86,2664,151,61011.8,7530,1472,153970.81,41,1085.0,155055.81
2023-01-01,2023,1,854,55081.29,3236.0,422,46559.26,2446,92,24135.68,7220,1368,138678.23,66,1625.0,140303.23
2023-02-01,2023,2,856,49229.59,2985.0,321,56202.29,1780,108,20028.8,9650,1285,139875.68,22,388.0,140263.68
2023-03-01,2023,3,830,45133.58,3215.0,288,51281.45,470,130,22754.7,9790,1248,132644.73,13,325.0,132969.73
2023-04-01,2023,4,645,32952.54,2130.0,252,24435.32,910,18,232.0,2070,915,62729.86,0,0.0,62729.86
2023-05-01,2023,5,871,47626.06,2455.0,234,28489.4,2785,185,29194.0,13640,1290,124189.46,0,0.0,124189.46
2023-06-01,2023,6,856,57714.58,4042.0,195,24997.9,1610,121,14615.8,11704,1172,114684.28,0,0.0,114684.28
2023-07-01,2023,7,1210,85123.0,3165.0,272,31859.53,1100,136,18077.6,11855,1618,151180.13,0,0.0,151180.13
2023-08-01,2023,8,1453,94959.85,5090.0,79,8211.2,945,101,17656.7,7255,1633,134117.75,0,0.0,134117.75
2023-09-01,2023,9,1368,89969.0,11031.0,165,16721.21,1695,143,17301.12,12200,1676,148917.33,0,0.0,148917.33
2023-10-01,2023,10,1389,67809.91,15511.0,204,21843.68,1125,142,20292.08,11095,1735,137676.67,0,0.0,137676.67
