date,year,month,gp_patients,gp_insurance,gp_cash,im_patients,im_insurance,im_cash,dental_patients,dental_insurance,dental_cash,total_patients,total_revenue,pcr_patients,pcr_cash,final_revenue,month_sin,month_cos,quarter,revenue_lag_1,revenue_lag_2,revenue_lag_3,revenue_lag_12,patients_lag_1,revenue_ma_3,revenue_ma_6,revenue_ma_12,revenue_std_3,patients_ma_3,revenue_per_patient,total_insurance,total_cash,insurance_ratio,gp_revenue,im_revenue,dental_revenue,gp_share,im_share,dental_share,revenue_yoy_change,patients_yoy_change,revenue_mom_change
2021-01-01,2021,1,507,54643.98,6919.0,0,0.0,0,74,11032.0,6700,581,79294.98,21,647.0,79941.98,0.49999999999999994,0.8660254037844387,1,,,,,,79941.98,79941.98,79941.98,,581.0,137.59376936316696,65675.98000000001,13619.0,0.8282489004978627,61562.98,0.0,17732.0,0.7763792865576107,0.0,0.22362071344238943,,,
2021-02-01,2021,2,554,51363.14,8107.0,0,0.0,0,57,33527.36,13343,611,106340.5,87,2031.0,108371.5,0.8660254037844386,0.5000000000000001,1,79941.98,,,,581.0,94156.73999999999,94156.73999999999,94156.73999999999,20102.706377878585,596.0,177.36743044189853,84890.5,21450.0,0.7982894569801722,59470.14,0.0,46870.36,0.5592426215787965,0.0,0.4407573784212036,,,0.35562691842258604
2021-03-01,2021,3,470,38923.15,8079.0,0,0.0,0,40,14244.44,11590,510,72836.59,253,5295.0,78131.59,1.0,6.123233995736766e-17,1,108371.5,79941.98,,,611.0,88815.02333333333,88815.02333333333,88815.02333333333,16960.578194697064,567.3333333333334,153.19919607843136,53167.590000000004,19669.0,0.7299571547761916,47002.15,0.0,25834.440000000002,0.6453095895895182,0.0,0.35469041041048194,,,-0.27903932306925716
2021-04-01,2021,4,357,33027.72,6228.0,38,5411.85,470,98,1302.0,7805,493,54244.57,779,17358.0,71602.57,0.8660254037844387,-0.49999999999999983,2,78131.59,108371.5,79941.98,,510.0,86035.22000000002,84511.91,84511.91,19617.31578781613,538.0,145.23847870182558,39741.57,14503.0,0.7326368335116308,39255.72,5881.85,9107.0,0.7236801766517829,0.10843205135555505,0.1678877719926621,,,-0.08356440717512584
2021-05-01,2021,5,436,48903.4,8314.0,96,14285.45,423,122,5421.92,9150,654,86497.77,423,11640.0,98137.77,0.49999999999999994,-0.8660254037844387,2,71602.57,78131.59,108371.5,,493.0,82623.97666666667,87237.08200000001,87237.08200000001,13826.256298511662,552.3333333333334,150.05775229357798,68610.77,17887.0,0.7932085416768548,57217.4,14708.45,14571.92,0.6614898858086168,0.1700442681932725,0.1684658459981107,,,0.37059005004987944
2021-06-01,2021,6,640,58773.6,7408.0,147,19324.0,882,145,13687.68,10080,932,110155.28,398,12600.0,122755.28,1.2246467991473532e-16,-1.0,2,98137.77,71602.57,78131.59,,654.0,97498.54,93156.78166666666,93156.78166666666,25582.345403240488,693.0,131.7116738197425,91785.28,18370.0,0.8332354109580585,66181.6,20206.0,23767.68,0.6008027940194969,0.18343196985201254,0.21576523612849063,,,0.2508464376152015
2021-07-01,2021,7,642,50421.97,6278.5,154,19072.75,980,113,4105.68,10075,909,90933.9,479,14575.0,105508.9,-0.4999999999999998,-0.8660254037844388,3,122755.28,98137.77,71602.57,,932.0,108800.65000000001,97417.935,94921.37,12634.562247933234,831.6666666666666,116.07139713971397,73600.4,17333.5,0.8093835192376001,56700.47,20052.75,14180.68,0.6235350072965088,0.22052007007287713,0.15594492263061413,,,-0.1404939974883362
2021-08-01,2021,8,644,53485.12,5166.0,232,30014.63,663,155,14326.96,10420,1031,114075.71,440,11975.0,126050.71,-0.8660254037844384,-0.5000000000000004,3,105508.9,122755.28,98137.77,,909.0,118104.96333333333,100364.47000000002,98812.5375,11032.25150838363,957.3333333333334,122.2606304558681,97826.70999999999,16249.0,0.8575595102585817,58651.12,30677.63,24746.96,0.5141420553069536,0.2689234193677164,0.21693452532532997,,,0.19469267521507677
2021-09-01,2021,9,676,55903.0,4925.0,233,26214.38,2672,143,19019.04,10950,1052,119683.42,474,10215.0,129898.42,-1.0,-1.8369701987210297e-16,3,126050.71,105508.9,122755.28,,1031.0,120486.01000000001,108992.27500000001,102266.52444444444,13112.459190598058,997.3333333333334,123.47758555133079,101136.42000000001,18547.0,0.8450328374640365,60828.0,28886.38,29969.04,0.5082408240005174,0.24135657219688408,0.25040260380259854,,,0.03052509581262963
2021-10-01,2021,10,715,58388.11,5121.0,229,26280.45,1077,155,30595.92,12050,1099,133512.48,502,11585.0,145097.48,-0.8660254037844386,0.5000000000000001,4,129898.42,126050.71,105508.9,,1052.0,133682.20333333334,121241.42666666668,106549.62,10071.376474615197,1060.6666666666667,132.0268243858053,115264.48,18248.0,0.8633236383595001,63509.11,27357.45,42645.92,0.4756792024236236,0.20490556388436496,0.31941523369201136,,,0.11700727383751097
2021-11-01,2021,11,586,57315.33,13418.0,213,23131.0,947,184,48860.16,8850,983,152521.49,193,4530.0,157051.49,-0.5000000000000004,0.8660254037844384,4,145097.48,129898.42,126050.71,,1099.0,144015.79666666666,131060.38,111140.69909090908,13608.814486627123,1044.6666666666667,159.76753814852492,129306.49,23215.0,0.8477919406635748,70733.33,24078.0,57710.16,0.4637597626406614,0.15786627838477058,0.37837395897456816,,,0.08238606211493114
2021-12-01,2021,12,556,36919.64,3377.0,255,28784.24,2030,96,43269.84,3790,907,118170.72,513,15230.0,133400.72,-2.4492935982947064e-16,1.0,4,157051.49,145097.48,129898.42,,983.0,145183.23,132834.62,112995.70083333332,11825.618173909506,996.3333333333334,147.07907386990078,108973.72,9197.0,0.9221719221140398,40296.64,30814.24,47059.84,0.34100359209117115,0.26076036432713623,0.3982360435816926,,,-0.15059245856247522
2022-01-01,2022,1,614,42207.53,4490.0,183,18115.97,655,68,11782.4,4070,865,81320.9,736,17795.0,99115.9,0.49999999999999994,0.8660254037844387,1,133400.72,157051.49,145097.48,79941.98,907.0,129856.03666666667,131769.12,114593.52750000001,29129.997118301122,918.3333333333334,114.58485549132948,72105.9,9215.0,0.8866834971083695,46697.53,18770.97,15852.4,0.574237742081064,0.23082590084467833,0.19493635707425766,0.23984794972553844,0.48881239242685026,-0.2570062590366829
2022-02-01,2022,2,549,38624.6,2926.0,200,19935.96,1934,134,14905.2,9644,883,87969.76,388,9450.0,97419.76,0.8660254037844386,0.5000000000000001,1,99115.9,133400.72,157051.49,108371.5,865.0,109978.79333333333,126997.295,113680.8825,20301.70459121429,885.0,110.32815402038504,73465.76,14504.0,0.835125161191755,41550.6,21869.96,24549.2,0.4723282182422687,0.2486077033744323,0.279064078383299,-0.10105738132258024,0.4451718494271686,-0.017112693321656762
2022-03-01,2022,3,731,51217.74,3981.0,191,18070.97,705,157,24089.3,11520,1079,109584.01,224,6267.0,115851.01,1.0,6.123233995736766e-17,1,97419.76,99115.9,133400.72,78131.59,883.0,104128.89,124656.06,116824.1675,10187.016034919048,942.3333333333334,107.36886932344763,93378.01,16206.0,0.8521134607138395,55198.74,18775.97,35609.3,0.5037116272711685,0.17133859219059425,0.3249497805382373,0.482767853566016,1.115686274509804,0.18919416348387638
2022-04-01,2022,4,506,30532.14,3385.0,95,7382.47,850,136,13396.07,10670,737,66215.68,111,1983.0,68198.68,0.8660254037844387,-0.49999999999999983,2,115851.01,97419.76,99115.9,71602.57,1079.0,93823.14999999998,111839.59333333332,116540.51000000001,24028.895963533105,899.6666666666666,92.53552238805969,51310.68,14905.0,0.7749022588003326,33917.14,8232.470000000001,24066.07,0.5122221806073728,0.12432810476310147,0.36344971462952586,-0.047538656782850304,0.4949290060851927,-0.41132425172642
