date,predicted_revenue,lower_bound_95,upper_bound_95
2021-01-01,81969.06494090079,66118.87857064977,97919.10116890598
2021-02-01,109091.19194416274,93128.50088870649,125274.90828202499
2021-03-01,93723.31450062685,77103.01952455273,110146.35700244195
2021-04-01,80209.99921932924,63145.63730547222,97021.40861563187
2021-05-01,95124.01851212698,79371.39744357533,112174.74287931001
2021-06-01,120256.55327682589,103771.08978318781,137435.78008920825
2021-07-01,95017.46430767578,78548.49633844956,111877.64036284239
2021-08-01,115574.68474560043,98740.34644099782,133338.30101652042
2021-09-01,116104.96411565284,100411.77422450973,132893.5550423846
2021-10-01,135162.69790225645,118666.455372769,152495.5887252352
2021-11-01,148886.33362040695,133070.7713893575,166675.24755616655
2021-12-01,134528.90950018013,118457.87355050458,151115.06807917886
2022-01-01,105813.28106011626,88509.52975435092,123372.85254497723
2022-02-01,115945.44868552368,99507.19269907413,132508.85837625514
2022-03-01,109209.95731320446,91961.34853467453,126114.34219102049
2022-04-01,68799.92602022998,53495.515920900405,86156.79508332678
2022-05-01,104100.83065248287,86801.80473762593,121962.72890519413
2022-06-01,117530.34134806898,100211.52666095101,134164.4679175318
2022-07-01,121261.79413037046,104878.48196707695,137719.22796284637
2022-08-01,126850.94208111068,110342.02813758123,143686.5052310818
2022-09-01,133722.20460786062,117391.37117283315,151095.44038255519
2022-10-01,139336.26308343018,122201.14959918438,156092.1596765967
2022-11-01,131425.2991287713,113820.93168721814,147587.731465078
2022-12-01,153986.78239582872,136749.13551883798,171172.23756470124
2023-01-01,132265.74317386674,115126.48370388997,149054.74673784894
2023-02-01,122335.87788568862,105995.90819276484,139870.3801370381
2023-03-01,125530.10072472075,108805.52117389806,141872.21554245276
2023-04-01,54653.54516854976,38774.222336221676,70868.1360037056
2023-05-01,113475.01796678954,96922.10364840685,129203.04240745686
2023-06-01,113444.77484393227,97703.80371614291,130383.91017348785
2023-07-01,150460.11765670008,132513.04016521142,166697.5113883311
2023-08-01,138281.767645968,121840.61343216123,155155.16537150875
2023-09-01,152234.71194171117,135532.61078426725,168222.60146689546
2023-10-01,142123.70788183808,125855.40259526276,159828.69322825997
2023-11-01,110214.861193969,94259.7261088299,127898.01489157994
2023-12-01,175492.90277382275,157857.11355717134,191613.59182125685
2024-01-01,161309.4776284966,144297.82438430015,178346.08105116253
2024-02-01,128215.64855639431,111033.44398620864,145563.08881352213
2024-03-01,106397.32118882603,89611.41380726396,122917.58839238244
2024-04-01,119287.0577278618,102805.32197146749,136261.10315579362
2024-05-01,115868.1712149342,98861.31738119459,131486.8365081835
2024-06-01,162501.42752436452,146223.9073304011,178970.58256660096
2024-07-01,95694.1516990013,79320.80724770286,113254.8544470391
2024-08-01,139232.19775757156,123505.2184588032,154593.93410180736
2024-09-01,132285.20558811168,115336.30643758817,148994.57803492283
2024-10-01,172211.81949130053,157167.17705957856,188669.88615935954
